|neg|pos
156|[]|['great', 'well', 'also', 'extremely', 'texts', 'much']
157|['weak', 'also', '[', 'terrible']|"['good', 'interesting', ""'A"", 'characteristic', 'clearly', 'timely']"
158|['always', 'towards', 'sometime', 'highly', 'false', 'well']|['knowledgeable', 'also', 'much', 'well', 'however', 'learn']
160|['slightly', '[', 'confusingly']|['really', 'sometimes', 'collapsed', 'better', 'super', 'hardest']
161|['understanding', 'text', 'rarely', '[']|['really', 'also', 'late', 'little', 'great', 'learn']
162|['difficult', 'knowledgeable', 'hard', 'little', 'sometimes', 'sad']|['knowledgeable', 'often', 'extremely', 'really', 'much', 'great']
165|[]|['interesting', 'great', 'well', 'personal', 'excellent', 'extremely']
166|['yet', 'appropriately', 'really', 'difficult']|['best', 'ever', 'interesting', 'honestly', 'nice', 'negative']
169|['difficult', 'follow', 'absolutely', 'rather', 'chalkboard', 'great']|['knowledgeable', 'great', 'extremely', 'nice', 'much', 'subject']
170|['always', 'attendance', 'poor', 'probably', 'biggest', 'occasionally']|"['really', 'enough', 'always', 'actually', 'interesting', ""'Basically""]"
171|"['difficult', 'follow', 'hard', 'clearly', 'often', ""'Weakness""]"|['much', 'clearly', 'knowledgeable', 'hard', 'rather', 'never']
173|['really', 'sometimes', 'never', 'real', 'poor', 'speak']|['knowledgeable', 'clearly', 'personable', 'supplement', 'extremely', 'approachable']
175|[]|['great', 'really', 'better', 'obviously', 'committed', 'good']
176|['poorly', 'ludicrous', 'long', 'often', 'thought', '[']|['outside', 'always', 'helpful', 'extremely', 'responsive', 'available']
177|['often', 'allow', 'bit', 'repetitive', 'wasnt', 'lectured']|['knowledgeable', 'really', 'great', 'well', 'much', 'clear']
182|['often', 'difficult', 'obscure', 'text', 'broadly', 'even']|['often', 'clearly', 'also', 'enthusiastic', 'new', 'sometimes']
184|['slow', 'thought', 'idiotic', 'however']|['sometimes', 'good', 'well', 'subject', 'always', 'willing']
185|['sometimes', 'long', 'able', 'specific', 'answer']|['really', 'also', 'enthusiastic', 'subject', 'good', 'ever']
187|['learned', 'subject']|"['new', 'African', 'grasp', 'overly', 'tangential', ""'Passionate""]"
190|[]|['approachable', 'well', 'encourage', 'reasonable', 'Personable', 'nice']
191|['sometimes', 'also', 'often', 'always', 'difficult', 'clear']|['knowledgeable', 'clear', 'really', 'good', 'great', 'well']
192|['unavailable']|['informative', 'long', 'Very', 'open', 'sometimes', 'excellent']
193|['new', 'genuine', 'texts']|['great', 'good', 'really', 'best', 'better', 'also']
