ARTH 27709|813|Theodore Gericault (1791-1824)|ARTH
PSYC 27010|8729|Psycholinguistics|PSYC
HIST 25415|5438|History of Information|HIST
CLCV 20800|1662|Anc Mediterr World-2: Rome|CLCV
JAPN 20401|6368|Advanced Modern Japanese-1|JAPN
SOSC 23703|9600|China in East Asian Civ-3|SOSC
AMER 24030|81|Sexuality Studies in American Art|AMER
ENGL 23402|3448|Obsolescence and Sentimentality|ENGL
ARTH 26805|789|Roman Visual Culture|ARTH
CMSC 15200|2007|Intro To Computer Science-2|CMSC
CHDV 14510|1410|Gender and Development|CHDV
ANTH 22720|263|Paperwork|ANTH
ENGL 25956|3611|Disability Studies: An Introduction|ENGL
CHDV 25100|1464|Anthropology of the Body|CHDV
CRES 21813|2374|Race and Nation in Latin America|CRES
HIST 29405|5686|Marxism in Asia|HIST
PERS 10102|7829|Elementary Persian-2|PERS
PEAA 16020|7822|Ballet|PEAA
"HIST 27704|5615|Consumer Culture in America, 1700-1960|HIST"
"GNSE 18910|4541|British Women Writers, 1660-1800|GNSE"
PHIL 26006|8054|The Early Modern Mind|PHIL
CHDV 28900|1519|Study Of Lives: Case/Life Hist|CHDV
ITAL 28914|6349|The Postmodern City in Italian Literature and Cinema|ITAL
"RLST 27380|8946|Introduction to Southern Asian Religions: Hinduism, Buddhism, Jainism, Islam, and Sikhism|RLST"
ARME 10103|517|Elementary Modern Armenian-3|ARME
TAPS 27500|9939|Costume Design for the Stage|TAPS
TAPS 12600|9864|Advanced Shakespeare in Performance|TAPS
"AMER 22101|78|Women, Gender, and Religion in America|AMER"
SOSC 23000|9584|Intro To South Asian Civ-1|SOSC
PHIL 23002|7965|Paradox|PHIL
PLSC 20704|8231|Trust|PLSC
HMRT 27600|5876|Corruption and Human Rights|HMRT
PBPL 28350|7799|Education and Development:  Policy and Research|PBPL
TURK 10105|10032|Introduction to Old Turkic|TURK
NEHC 20751|7598|Rumi: Poet of Islamic Spirituality|NEHC
NEHC 20121|7516|The Bible and Archaeology|NEHC
GRMN 25907|4803|German Novella|GRMN
GREK 25806|4698|Euripides Cyclops|GREK
EEUR 29300|3110|Philosophy of Architecture|EEUR
RLST 22809|8867|Radicalism & Resistance via African American Religion|RLST
RLST 22300|8851|Early Christian Narratives|RLST
LGLN 21101|6836|Elementary Ge'ez-1|LGLN
PORT 26502|8593|Brazilian Lit. & Cinema|PORT
POLI 26200|8552|Intro to Polish Literature -3|POLI
PLSC 20715|8237|Intl Relations in E Asia|PLSC
HUMA 20710|5993|At the Piano-I|HUMA
FREN 22810|4182|Montaigne and Liberalism|FREN
"ARTH 26114|766|Invention and Revival in European Prints, 1500-1900|ARTH"
ARTH 20703|662|Cultural Contacts/Silk Rd/Art|ARTH
INST 29104|6106|Revival of Tradition|INST
PLSC 20602|8217|Interpreting Contemporary Unrest|PLSC
PLSC 26113|8424|Attentat! Modern Theories of Political Violence|PLSC
HIST 23508|5306|Religion & Politics in 16th Century Europe|HIST
"SOCI 30184|9481|Political Culture, Social Capital, and The Arts|SOCI"
ISHU 26501|6214|Scenic Design|ISHU
NEHC 20840|7613|Radical Islamic Pieties: 1200-1600|NEHC
MUSI 23706|7352|Music of South Asia|MUSI
PSYC 22750|8663|Developmental Psychopathology|PSYC
CHDV 20000|1411|Introduction to Human Development|CHDV
HIST 26216|5506|Slavery and Freedom in South America|HIST
ANTH 24810|326|Atmospherics|ANTH
ENGL 18901|3293|Origins of the English Novel|ENGL
BIOS 10900|1081|Laboratory & Writing in the Biological Sciences|BIOS
EALC 24502|2850|Early Chinese Cinema|EALC
HIST 27804|5623|Race and the Criminal Justice System|HIST
"FNDL 25500|4035|Austen: Pride/Prejudice, Emma, Persuasion|FNDL"
PHIL 23408|7982|Introduction to Being and Time|PHIL
NEHC 30705|7669|Literatures of Eurasia|NEHC
BUSF 33470|1362|Population And The Economy|BUSF
ANTH 21104|137|Explorations in Relativism|ANTH
ANTH 23715|299|Self Determination:  Theory and Reality|ANTH
ITAL 20200|6279|Language History Culture-2|ITAL
HIST 11900|5054|Early Monasticism|HIST
CLCV 25808|1738|Roman Law|CLCV
PLSC 23801|8363|The Political Thought of Martin Delany|PLSC
LATN 27000|6792|Facetiae-Poggio|LATN
CHDV 25900|1468|Intro To Developmental Psych|CHDV
HIST 24302|5359|Society and the City in Edo Japan|HIST
KORE 10100|6500|Intro To Korean Language-1|KORE
HIST 24110|5345|Buddhism and the West|HIST
"SOSL 27601|9674|Gender in Balkans: Wounded Men, Sworn Virgins, Eternal Mothers|SOSL"
RLST 27302|8944|Buddhism in South Asia|RLST
HIST 24704|5384|Nativism and Nationalism in Japan|HIST
NEHC 20071|7514|Women in Ancient Egypt|NEHC
EALC 18606|2778|Structuring China's Built Environment|EALC
ARTH 14215|533|Roman Art II:  Late Antique and Early Christian Art and Arch|ARTH
SOCI 20231|9412|Theories of Gender and Sexuality|SOCI
CRWR 12102|2620|Introduction to Genres: Writing and Performance|CRWR
ANTH 23101|284|Intro to Latin American  Civ I|ANTH
TAPS 28460|9986|Chinese Drama and Theater:  12th to 21st Centuries|TAPS
"ENGL 15804|3223|Medieval Romance: Spaghetti Western to ""Matter of Rome""|ENGL"
ITAL 10500|6272|Italian Through Dante-2|ITAL
BPRO 24900|1339|Biology and Sociology of AIDS|BPRO
"CRES 26213|2432|Migrations and the Americas, Conquest to Present|CRES"
PORT 23700|8586|Rogue Philosophers: Inv Trad|PORT
NEHC 20583|7558|Mediterranean Thinkers:  Jewish Thought in the Medieval Islami|NEHC
RUSS 25200|9067|Intro To Russian Civ-2|RUSS
CMLT 29116|1972|Colonial Spanish American Theatre|CMLT
HIST 20503|5189|Greek and Roman Historiography|HIST
PHIL 28210|8078|Psychoanalysis and Philosophy|PHIL
"CRPC 27000|2543|Philosophy, Race and Racism|CRPC"
PHIL 25110|8035|Maimonides and Hume on Religion|PHIL
PSYC 21204|8633|The Role of Body in Mind: Embodied Approaches to Cognition|PSYC
PLSC 28005|8471|How Groups Choose|PLSC
PLSC 27103|8451|Islam Online|PLSC
GEOS 24711|4354|Feeding the City:  The Urban Food Chain-1|GEOS
ENGL 11401|3150|Writing Law|ENGL
PSYC 31700|8740|Developmental Biopsychology|PSYC
"ITAL 26514|6343|Opera, Society and Politics|ITAL"
ENGL 22814|3437|Contemporary Native American Literature|ENGL
PBPL 25620|7748|Tpcs: Lat/Amer Economies Developing Countries|PBPL
RLST 27202|8942|Ralph Waldo Emerson|RLST
PHSC 12500|8121|Molecular Mechanisms of Human Disease|PHSC
LING 31720|6981|Sociophonetics|LING
HIPS 24914|4947|Philosophy of Cognitive Science|HIPS
ANTH 21424|219|Technology & Analytical Instrumentation for Anthropological Archaeology|ANTH
NEAA 20062|7463|Ancient Landscapes-2|NEAA
ENGL 22204|3414|Psychoanalysis and Narrative|ENGL
"PBPL 27751|7787|Practicum in Environment, Agriculture & Food Policy II|PBPL"
SPAN 20200|9693|Language History Culture-2|SPAN
BANG 20200|1022|Second-Year Bangla-2|BANG
LACS 38000|6748|United States Latinos: Origins and Histories|LACS
HIST 21004|5202|Roman Law|HIST
JWSC 24309|6449|Introduction to Yiddish Culture and Literature|JWSC
GREK 21100|4675|Elegiac Poetry|GREK
BIOS 23124|1210|Learning About Reasoning from the Evolutionary Debate|BIOS
MUSI 22306|7312|Music and Politics|MUSI
SOCI 30116|9480|Global-Local Politics|SOCI
ANTH 25118|335|Earthbound Metaphysics: Speculations on Earths and Heavens|ANTH
FNDL 21410|3914|The Gospel Of Luke|FNDL
CMLT 20800|1816|Brecht And Beyond|CMLT
CMST 26503|2216|Scandinavian Cinema in the Classic Period (1910-1960)|CMST
CMST 27220|2233|Classical Film Theory|CMST
HIST 22403|5246|The Crusades and the Medieval West|HIST
PLSC 29201|8504|Ethnic Rights as Human Rights|PLSC
SCTH 20698|9208|Style and Meaning in Henry James' The Golden Bowl|SCTH
HIST 26006|5475|Historical Perspectives on Islamic Political Thought|HIST
HIST 29510|5699|Migration and Marginality: Interdisciplinary Perspectives|HIST
JWSC 26115|6470|Phil Rel:  Challenge of Suffering from Job to Primo Levi|JWSC
PBPL 24880|7739|Core Seminar:  The Polictical Economy of International Trade|PBPL
PLSC 22150|8321|Contemporary African American Politics|PLSC
GRMN 23333|4753|German For Research Purposes|GRMN
GRMN 26711|4812|Contemporary Scandinavian Cinema|GRMN
LTAM 15401|7121|Us Intervention In Ctrl Amer-1|LTAM
HIST 21005|5203|Economy and Society in Ancient Greece & Rome|HIST
HIST 12100|5055|War In The Middle Ages|HIST
PSYC 20500|8616|Intro To Developmental Psych|PSYC
GEOS 29002|4373|Field Course in Modern and Ancient Environments|GEOS
JWSC 26801|6477|The Thought of Hannah Arendt|JWSC
SOSC 23271|9592|Middle Eastern Civilizations in Istanbul 1|SOSC
HIPS 29508|5020|Tut: Nature as Technology: A Philosophical & Historical Investigation|HIPS
